delegated_tokens,delegated_voters,delegated_votes,delegated_voting_power,direct_tokens,direct_voters,direct_votes,direct_voting_power,month,referenda
581138259.199561,402,11975,2117988461.7853596,503979546.96520865,434,4321,102406119.18401286,2025-03-01 00:00:00.000 UTC,84
694974387.8514992,373,16674,2522521537.853541,598253565.614845,1393,11089,1038250445.6550537,2024-03-01 00:00:00.000 UTC,143
1116811222.6754045,355,18010,3479468840.2276487,588032596.8936145,654,7543,1027657778.2063489,2024-06-01 00:00:00.000 UTC,164
410653965.85426724,420,16627,1163248220.9128675,275548413.17695206,667,7110,485785951.44745594,2024-10-01 00:00:00.000 UTC,112
522955926.97014356,385,15200,1549455048.325088,708372351.3406193,1284,12108,1628297099.9307551,2024-02-01 00:00:00.000 UTC,111
41177001.72590382,199,5348,89790819.62787996,521755072.8382712,548,6855,562313575.7213445,2023-07-01 00:00:00.000 UTC,82
555278286.3824307,401,14271,2144351071.296372,217035676.55882818,701,6107,225702122.19428474,2024-11-01 00:00:00.000 UTC,99
455371940.12725526,359,9405,1812143410.4036274,143831148.2112223,503,3986,132464875.4503319,2024-12-01 00:00:00.000 UTC,73
441514501.9703108,413,13263,995897454.9121029,693624185.0093513,1319,10948,1614034566.004695,2024-01-01 00:00:00.000 UTC,94
720028920.8009193,359,17209,2624000633.113433,825617057.2869084,1226,9020,1015985950.6508615,2024-04-01 00:00:00.000 UTC,154
81245331.0362845,232,6486,260523695.9800602,540894678.8310984,488,7018,643747258.5413307,2023-08-01 00:00:00.000 UTC,66
188209330.01054955,346,10648,606929458.3965486,521317347.28074914,538,8708,1173843423.6050968,2023-10-01 00:00:00.000 UTC,86
85160038.24776088,263,5215,263640910.22025672,276732281.27969474,435,4845,391062126.1234883,2023-09-01 00:00:00.000 UTC,60
311157848.67683125,369,16437,893230829.2445699,301681338.73361844,631,12511,962942469.288739,2023-12-01 00:00:00.000 UTC,138
1014460889.2389393,357,15669,3484467863.3354235,111353404.32424533,613,5786,308125099.7963735,2024-08-01 00:00:00.000 UTC,139
442678500.8781619,386,9432,1671639504.4418762,183313209.44561657,568,3597,153456054.80679637,2025-05-01 00:00:00.000 UTC,64
335854359.0772695,331,8178,1397276030.78154,11152933.507878512,422,3225,13434590.3512372,2025-01-01 00:00:00.000 UTC,64
522819363.58921874,363,10307,1913284340.9110703,645683524.3736006,477,4181,393746622.408443,2025-02-01 00:00:00.000 UTC,73
395958200.789011,395,8367,1455411278.003261,345795821.9632381,463,3130,145998291.9840531,2025-04-01 00:00:00.000 UTC,57
530945623.1381039,362,18688,1657277181.5555987,655268223.6696519,791,15324,1736993634.6607125,2023-11-01 00:00:00.000 UTC,134
476073659.185343,352,10794,2180242897.8491163,129008553.4386509,268,2873,120816949.57382974,2025-07-01 00:00:00.000 UTC,65
1040338623.5451927,331,18192,3512659668.0225925,972574017.572129,702,7636,1935502294.3470204,2024-07-01 00:00:00.000 UTC,173
481981039.46300614,372,12447,2090730150.7915735,119220301.82631232,421,3647,114683739.63194513,2025-06-01 00:00:00.000 UTC,77
841875688.1259346,337,14219,2979105071.632775,869634253.4338249,1052,7968,2475705640.3852096,2024-05-01 00:00:00.000 UTC,153
587975389.0680382,418,11972,1985668279.4426541,626438481.6410577,728,5820,1047140803.0400456,2024-09-01 00:00:00.000 UTC,117
25499898.55680321,149,3745,64900098.36268008,212821092.86566573,439,5161,231158097.3799652,2023-06-01 00:00:00.000 UTC,51
